ref_id;po_description;line_item_description;line_id;quantity;quantity_total_received;quantity_billed;amount;amount_received;amount_billed;unit_price;material_code;gl_account;is_opex;creation_date;due_date;currency_code;is_cancelled;purchase_order_number;project_code_ref_id;requester_actor_ref_id;cost_center_ref_id;supplier_ref_id
TG LI OP100;Complete PO with one LI;LI description of TG LI OP100;100;1;0;0;20000;0;0;20000;123456;987;TRUE;2015-03-32;2015-03-32;CHF;FALSE;TG100;;REG06;503100;SWORD
TG LI OP200-1;Complete PO with 2 LI;LI description of TG LI OP200-1;2001;20;10;5;40000;20000;10000;2000;789012;987;TRUE;2015-03-32;;CHF;FALSE;TG200;;REG06;503100;SWORD
TG LI OP200-2;Complete PO with 2 LI;LI description of TG LI OP200-2;2002;1;0;0;15000;5000;0;15000;345678;987;TRUE;2015-03-32;;CHF;FALSE;TG200;;REG06;503100;SWORD
TG LI CA300;PO CAPEX with no quantity;LI description of TG LI CA300;300;;;;50000;;;;123456;987;FALSE;2015-03-32;2015-03-32;CHF;FALSE;TG300;;REG06;503100;SWORD
TG LI CA400;PO CAPEX with no amount;LI description of TG LI CA300;400;10;;;10000;;;1000;123456;987;FALSE;2015-03-32;2015-03-32;CHF;FALSE;TG400;;REG06;503100;SWORD
TG LI OP500;PO OPEX with no GL and Material code;LI description of TG LI OP500;500;;;;67000.45;23000.45;14000;;;;TRUE;2015-03-32;;CHF;FALSE;TG500;;REG06;503100;SWORD
TG LI OP600;Empty ref_id - Should not be loaded;Empty ref_id - Should not be loaded;600;1;0;0;20000;0;0;20000;123456;987;TRUE;2015-03-32;2015-05-32;CHF;FALSE;TG100;;REG06;503100;SWORD
TG LI_CA700;PO in EUR;LI description of TG LI CA700;0;;;;45000;20000;;;;;FALSE;2015-03-32;;EUR;FALSE;TG700;;REG06;503100;SWORD
TG LI_CA700;Accents in description;blabla;700;4;1;1;80000;;;;;987;FALSE;2015-03-32;;CHF;FALSE;TG700;;REG06;503100;SWORD
TG LI_CA900;blabla;blabla;900;;;;20000;;;;;;FALSE;2015-03-32;;CHF;FALSE;TG900;;REG06;503100;SWORD
TG OP1000;PO with associated PE;PO with associated PE LI description;1000;;;;30000;;10000;;;;TRUE;2015-03-32;;CHF;FALSE;TG1000;123;REG01;503100;MICROSOFT
TG LI 2000;Another PO associated with a PE but in USD;Another PO associated with a PE but in USD LI;2000;;;;4000;;;;;456;TRUE;2015-03-32;;USD;FALSE;TG2000;123;REG04;503500;ORACLE
TG LI 3000;PO with non existing requestor;LI desc 3000;3000;;;;50000;;;;;;TRUE;2015-03-32;;CHF;FALSE;TG3000;;REG01;503500;ORACLE
TG LI 4000;PO with not requestor;LI desc 4000;4000;;;;200000000;;;;;;TRUE;2015-03-32;;CHF;FALSE;TG4000;;;503500;ORACLE
TG LI OP5000;PO with no supplier;blabla;5000;4;2;;3000;;;;;;TRUE;2015-03-32;;CHF;FALSE;Tg5000;;;;
TG LI OP6000;PO with wrong CC;LI description;60000;;;;2098879;;;;;;TRUE;2015-03-32;;CHF;FALSE;TG6000;;;;
